,Variable Name,Variable Label,Variable Type
681,access_proc5_5,Pre-award Survey,Numeric
682,access_proc4,ACCESS_PROC4,Integer
683,access_proc4_4,Technical capacity analysis in project design under ADS 201,Numeric
684,access_proc6,ACCESS_PROC6,Integer
685,access_proc6_6,Technical evaluation in competition process,Numeric
686,access_proc7,ACCESS_PROC7,Integer
687,access_proc7_7,Responsibility determination,Numeric
688,access_proc8,ACCESS_PROC8,Integer
689,access_proc8_96,Don't know,Numeric
690,access_proc9,ACCESS_PROC9,Integer
691,access_proc9_9,Other - Specify,Numeric
692,access_proc9_9_oe,ACCESS_PROC9_9_OE,String
700,enab_env_type,What types of support were provided? Select all that apply.,Integer
701,enab_env_type_1,Sector regulatory reform,Numeric
702,enab_env_type_2,Building code reform,Numeric
703,enab_env_type_3,"Strengthening internal operations (financial systems, personnel systems, busines",Numeric
704,enab_env_type_4,Tariff development/reform,Numeric
705,enab_env_type_5,Construction trades training,Numeric
706,enab_env_type_6,Operations & maintenance training,Numeric
707,enab_env_type_7,Environmental procedures,Numeric
708,enab_env_type_8,Regulatory authorities,Numeric
709,enab_env_type_9,Monitoring and evaluation,Numeric
710,enab_env_type_10,"Other, Specify:",Numeric
711,enab_env_type_10_oe,ENAB_ENV_TYPE_10_OE,String
716,cap_build_oe,CAP_BUILD_OE,String
723,omfund_avail_oe,OMFUND_AVAIL_OE,String
729,omfund_con,What source(s) will provide continued operations and maintenance (O&M) funding? ,Integer
730,omfund_con_1,Host government commitment (historical budget allocation),Numeric
731,omfund_con_2,Host government commitment (new budget allocation),Numeric
732,omfund_con_3,Local community,Numeric
733,omfund_con_4,"Tariff system/user fees [viable, provides adequate O&M funds]",Numeric
734,omfund_con_5,"Tariff system/user fees [unviable, does not provide adequate O&M funds]",Numeric
735,omfund_con_6,Maintenance fund,Numeric
736,omfund_con_9,Not determined,Numeric
737,omfund_con_10,"Other, Specify",Numeric
738,omfund_con_10_oe,OMFUND_CON_10_OE,String
739,omfund_con_96,Don't know,Numeric
740,omfund_con_7,USAID Funding,Numeric
741,omfund_con_8,Public international organization or other donor funding,Numeric
742,om_contin,Are there additional requirements upon which adequate O&M funding is contingent?,Numeric
743,om_contin_1,Capacity building,Numeric
744,om_contin_2,New laws,Numeric
745,om_contin_3,Increased number of users,Numeric
746,om_contin_4,Better collection of tariffs and user fees,Numeric
747,om_contin_5,Community organization/support,Numeric
748,om_contin_6,"Other, Specify",Numeric
749,om_contin_6_oe,OM_CONTIN_6_OE,String
750,om_contin_96,Don't know,Numeric
751,om_contin_0,None,Numeric
768,gov_consult_who,Which government entities were consulted in the design of the infrastructure? Se,Integer
769,gov_consult_who_1,Central government authorities/Ministry officials.,Numeric
770,gov_consult_who_2,Regional officials,Numeric
771,gov_consult_who_3,Local officials,Numeric
772,gov_consult_who_4,"Other, Specify",Numeric
773,gov_consult_who_4_oe,GOV_CONSULT_WHO_4_OE,String
778,stkh_consult_who,Which non-governmental stakeholders were consulted in the design of the infrastr,Integer
779,stkh_consult_who_1,NGOs/CSOs,Numeric
780,stkh_consult_who_2,User/business associations,Numeric
781,stkh_consult_who_3,Community groups,Numeric
782,stkh_consult_who_4,"Other, Specify",Numeric
783,stkh_consult_who_4_oe,STKH_CONSULT_WHO_4_OE,String
788,site_apprv_who,Which government entities gave formal approval for the construction activity sit,Integer
789,site_apprv_who_1,Central government authorities/Ministry officials.,Numeric
790,site_apprv_who_2,Regional officials,Numeric
791,site_apprv_who_3,Local officials,Numeric
792,site_apprv_who_4,"Other, Specify",Numeric
793,site_apprv_who_4_oe,SITE_APPRV_WHO_4_OE,String
806,tech_who,Which USG officials were involved? Select all that apply.,Integer
807,tech_who_1,USAID/Washington,Numeric
808,tech_who_2,Other country team,Numeric
809,tech_who_3,State Department/Washington,Numeric
810,tech_who_4,Congress,Numeric
811,tech_who_5,Department of Defense,Numeric
812,tech_who_6,"Other, Specify",Numeric
813,tech_who_6_oe,TECH_WHO_6_OE,String
814,tech_who_7,Don't know,Numeric
825,award_type_oe,AWARD_TYPE_OE,String
830,far16_type,What type of FAR Part 16 award was used?,Integer
860,dlp_oe,DLP_OE,String
862,des_std_award_1,International Building Code (IBC),Numeric
863,des_std_award_2,Uniform Building Code,Numeric
864,des_std_award_3,Local Codes,Numeric
865,des_std_award_4,AASHTO: American Association Of State And Highway Transportation Officials,Numeric
866,des_std_award_5,International Code Council,Numeric
867,des_std_award_6,ASCE: American Society Of Civil Engineers,Numeric
868,des_std_award_7,ANSI: American National Standards Institute,Numeric
869,des_std_award_8,OSHA: Occupational Safety And Health Administration,Numeric
870,des_std_award_9,"Other, Specify",Numeric
871,des_std_award_9_oe,DES_STD_AWARD_9_OE,String
872,des_std_award_96,Don't know,Numeric
877,hazard_matl_oe,HAZARD_MATL_OE,String
878,hazard_matl_bs,"What standards were used specifying the use of safe, nonhazardous building mater",Integer
879,hazard_matl_bs_1,US Standards,Numeric
880,hazard_matl_bs_2,Local Standards,Numeric
881,hazard_matl_bs_3,International Standards,Numeric
882,hazard_matl_bs_96,Don't know,Numeric
883,hazard_matl_bs_4,"Other, Specify",Numeric
884,hazard_matl_bs_4_oe,HAZARD_MATL_BS_4_OE,String
889,seis_des_std,What standard were/are used for seismic design? Select all that apply.,Integer
890,seis_des_std_1,"Regulations for Seismic Design: A World List, 1996",Numeric
891,seis_des_std_2,"Regulations for Seismic Design: Supplement, 2000",Numeric
892,seis_des_std_3,"Regulations for Seismic Design: A World List, 2004",Numeric
893,seis_des_std_4,Practice of Earthquake Hazard Assessment,Numeric
894,seis_des_std_5,International Handbook of Earthquake Engineering,Numeric
895,seis_des_std_6,Seismic Design for Buildings,Numeric
896,seis_des_std_7,"Uniform Building Code, 1997",Numeric
897,seis_des_std_8,"International Building Code, 2003",Numeric
898,seis_des_std_9,"Other, Specify",Numeric
899,seis_des_std_9_oe,SEIS_DES_STD_9_OE,String
900,seis_des_std_96,Don't know,Numeric
905,seis_cat_oe,SEIS_CAT_OE,String
914,wind_std,What standards were/are used for wind design? Select all that apply.,Integer
915,wind_std_1,IBC: International Building Code,Numeric
916,wind_std_2,UBC: Uniform Building Code,Numeric
917,wind_std_3,Local building codes,Numeric
918,wind_std_4,"Other, Specify",Numeric
919,wind_std_4_oe,WIND_STD_4_OE,String
920,wind_std_96,Don't know,Numeric
921,wind_std_5,None,Numeric
943,est_prep_oe,EST_PREP_OE,String
968,cost_rev_oe,COST_REV_OE,String
994,est_sched_prep_oe,EST_SCHED_PREP_OE,String
999,usg_inc_oe,USG_INC_OE,String
1009,return_rate_oe,RETURN_RATE_OE,String
1030,prime_stat_oe,PRIME_STAT_OE,String
1039,cont_start,What was the start date of the award? Please enter in format MM/YYYY.,Integer
1040,cont_end_plan,What was the planned end date of the award? Please enter in format MM/YYYY.,Integer
1041,total_budget_plan,What was the original award budget for all activities (including non-constructio,double
1042,construct_budget_plan,"Within the original award budget above, please provide an estimate of the amount",double
1064,lic_app_oe,LIC_APP_OE,String
1065,mod_no,How many award modifications for the construction component were issued?,Integer
1066,mod_des_1,For modification please tell us if modification 1 covered any of the following r,Integer
1067,mod_des_1_1,Modification 1: Increase in quantity delivered/requested,Numeric
1068,mod_des_1_2,Modification 1: Decrease in quantity delivered/requested,Numeric
1069,mod_des_1_3,Modification 1: Increase in capacity delivered/requested,Numeric
1070,mod_des_1_4,Modification 1: Decrease in capacity delivered/requested,Numeric
1071,mod_des_1_5,Modification 1: Schedule extended,Numeric
1072,mod_des_1_6,Modification 1: Schedule shortenend,Numeric
1073,mod_des_1_7,Modification 1: Rework needed,Numeric
1074,mod_des_1_8,Modification 1: Sustainability - anything to improve the longevity of the facili,Numeric
1075,mod_des_1_9,Modification 1: Compliance to meet health & safety requirements,Numeric
1076,mod_des_1_10,Modification 1: Compliance to meet environmental requirements,Numeric
1077,mod_des_1_11,Modification 1: Compliance to meet disability access requirements (local or inte,Numeric
1078,mod_des_1_12,Modification 1: Other requirements,Numeric
1079,mod_des_1_13,"Modification 1: Other, Specify",Numeric
1080,mod_des_1_13_oe,MOD_DES_1_13_OE,String
1081,mod_des_1_96,Modification 1: Don't know,Numeric
1082,mod_value_1,What was the value of modification?,double
1083,mod_des_2,For modification please tell us if modification 2 covered any of the following r,Integer
1084,mod_des_2_1,Modification 2: Increase in quantity delivered/requested,Numeric
1085,mod_des_2_2,Modification 2: Decrease in quantity delivered/requested,Numeric
1086,mod_des_2_3,Modification 2: Increase in capacity delivered/requested,Numeric
1087,mod_des_2_4,Modification 2: Decrease in capacity delivered/requested,Numeric
1088,mod_des_2_5,Modification 2: Schedule extended,Numeric
1089,mod_des_2_6,Modification 2: Schedule shortenend,Numeric
1090,mod_des_2_7,Modification 2: Rework needed,Numeric
1091,mod_des_2_8,Modification 2: Sustainability - anything to improve the longevity of the facili,Numeric
1092,mod_des_2_9,Modification 2: Compliance to meet health & safety requirements,Numeric
1093,mod_des_2_10,Modification 2: Compliance to meet environmental requirements,Numeric
1094,mod_des_2_11,Modification 2: Compliance to meet disability access requirements (local or inte,Numeric
1095,mod_des_2_12,Modification 2: Other requirements,Numeric
1096,mod_des_2_13,"Modification 2: Other, Specify",Numeric
1097,mod_des_2_13_oe,MOD_DES_2_13_OE,String
1098,mod_des_2_96,Modification 2: Don't know,Numeric
1099,mod_value_2,What was the value of modification?,double
1100,mod_des_3,For modification please tell us if modification 3 covered any of the following r,Integer
1101,mod_des_3_1,Modification 3: Increase in quantity delivered/requested,Numeric
1102,mod_des_3_2,Modification 3: Decrease in quantity delivered/requested,Numeric
1103,mod_des_3_3,Modification 3: Increase in capacity delivered/requested,Numeric
1104,mod_des_3_4,Modification 3: Decrease in capacity delivered/requested,Numeric
1105,mod_des_3_5,Modification 3: Schedule extended,Numeric
1106,mod_des_3_6,Modification 3: Schedule shortenend,Numeric
1107,mod_des_3_7,Modification 3: Rework needed,Numeric
1108,mod_des_3_8,Modification 3: Sustainability - anything to improve the longevity of the facili,Numeric
1109,mod_des_3_9,Modification 3: Compliance to meet health & safety requirements,Numeric
1110,mod_des_3_10,Modification 3: Compliance to meet environmental requirements,Numeric
1111,mod_des_3_11,Modification 3: Compliance to meet disability access requirements (local or inte,Numeric
1112,mod_des_3_12,Modification 3: Other requirements,Numeric
1113,mod_des_3_13,"Modification 3: Other, Specify",Numeric
1114,mod_des_3_13_oe,MOD_DES_3_13_OE,String
1115,mod_des_3_96,Modification 3: Don't know,Numeric
1116,mod_value_3,What was the value of modification?,double
1117,mod_des_4,For modification please tell us if modification 4 covered any of the following r,Integer
1118,mod_des_4_1,Modification 4: Increase in quantity delivered/requested,Numeric
1119,mod_des_4_2,Modification 4: Decrease in quantity delivered/requested,Numeric
1120,mod_des_4_3,Modification 4: Increase in capacity delivered/requested,Numeric
1121,mod_des_4_4,Modification 4: Decrease in capacity delivered/requested,Numeric
1122,mod_des_4_5,Modification 4: Schedule extended,Numeric
1123,mod_des_4_6,Modification 4: Schedule shortenend,Numeric
1124,mod_des_4_7,Modification 4: Rework needed,Numeric
1125,mod_des_4_8,Modification 4: Sustainability - anything to improve the longevity of the facili,Numeric
1126,mod_des_4_9,Modification 4: Compliance to meet health & safety requirements,Numeric
1127,mod_des_4_10,Modification 4: Compliance to meet environmental requirements,Numeric
1128,mod_des_4_11,Modification 4: Compliance to meet disability access requirements (local or inte,Numeric
1129,mod_des_4_12,Modification 4: Other requirements,Numeric
1130,mod_des_4_13,"Modification 4: Other, Specify",Numeric
1131,mod_des_4_13_oe,MOD_DES_4_13_OE,String
1132,mod_des_4_96,Modification 4: Don't know,Numeric
1133,mod_value_4,What was the value of modification?,double
1134,mod_des_5,For modification please tell us if modification 5 covered any of the following r,Integer
1135,mod_des_5_1,Modification 5: Increase in quantity delivered/requested,Numeric
1136,mod_des_5_2,Modification 5: Decrease in quantity delivered/requested,Numeric
1137,mod_des_5_3,Modification 5: Increase in capacity delivered/requested,Numeric
1138,mod_des_5_4,Modification 5: Decrease in capacity delivered/requested,Numeric
1139,mod_des_5_5,Modification 5: Schedule extended,Numeric
1140,mod_des_5_6,Modification 5: Schedule shortenend,Numeric
1141,mod_des_5_7,Modification 5: Rework needed,Numeric
1142,mod_des_5_8,Modification 5: Sustainability - anything to improve the longevity of the facili,Numeric
1143,mod_des_5_9,Modification 5: Compliance to meet health & safety requirements,Numeric
1144,mod_des_5_10,Modification 5: Compliance to meet environmental requirements,Numeric
1145,mod_des_5_11,Modification 5: Compliance to meet disability access requirements (local or inte,Numeric
1146,mod_des_5_12,Modification 5: Other requirements,Numeric
1147,mod_des_5_13,"Modification 5: Other, Specify",Numeric
1148,mod_des_5_13_oe,MOD_DES_5_13_OE,String
1149,mod_des_5_96,Modification 5: Don't know,Numeric
1150,mod_value_5,What was the value of modification?,double
1151,mod_des_6,For modification please tell us if modification 6 covered any of the following r,Integer
1152,mod_des_6_1,Modification 6: Increase in quantity delivered/requested,Numeric
1153,mod_des_6_2,Modification 6: Decrease in quantity delivered/requested,Numeric
1154,mod_des_6_3,Modification 6: Increase in capacity delivered/requested,Numeric
1155,mod_des_6_4,Modification 6: Decrease in capacity delivered/requested,Numeric
1156,mod_des_6_5,Modification 6: Schedule extended,Numeric
1157,mod_des_6_6,Modification 6: Schedule shortenend,Numeric
1158,mod_des_6_7,Modification 6: Rework needed,Numeric
1159,mod_des_6_8,Modification 6: Sustainability - anything to improve the longevity of the facili,Numeric
1160,mod_des_6_9,Modification 6: Compliance to meet health & safety requirements,Numeric
1161,mod_des_6_10,Modification 6: Compliance to meet environmental requirements,Numeric
1162,mod_des_6_11,Modification 6: Compliance to meet disability access requirements (local or inte,Numeric
1163,mod_des_6_12,Modification 6: Other requirements,Numeric
1164,mod_des_6_13,"Modification 6: Other, Specify",Numeric
1165,mod_des_6_13_oe,MOD_DES_6_13_OE,String
1166,mod_des_6_96,Modification 6: Don't know,Numeric
1167,mod_value_6,What was the value of modification?,double
1168,mod_des_7,For modification please tell us if modification 7 covered any of the following r,Numeric
1169,mod_des_7_1,Modification 7: Increase in quantity delivered/requested,Numeric
1170,mod_des_7_2,Modification 7: Decrease in quantity delivered/requested,Numeric
1171,mod_des_7_3,Modification 7: Increase in capacity delivered/requested,Numeric
1172,mod_des_7_4,Modification 7: Decrease in capacity delivered/requested,Numeric
1173,mod_des_7_5,Modification 7: Schedule extended,Numeric
1174,mod_des_7_6,Modification 7: Schedule shortenend,Numeric
1175,mod_des_7_7,Modification 7: Rework needed,Numeric
1176,mod_des_7_8,Modification 7: Sustainability - anything to improve the longevity of the facili,Numeric
1177,mod_des_7_9,Modification 7: Compliance to meet health & safety requirements,Numeric
1178,mod_des_7_10,Modification 7: Compliance to meet environmental requirements,Numeric
1179,mod_des_7_11,Modification 7: Compliance to meet disability access requirements (local or inte,Numeric
1180,mod_des_7_12,Modification 7: Other requirements,Numeric
1181,mod_des_7_13,"Modification 7: Other, Specify",Numeric
1182,mod_des_7_13_oe,MOD_DES_7_13_OE,String
1183,mod_des_7_96,Modification 7: Don't know,Numeric
1184,mod_value_7,What was the value of modification?,double
1185,mod_des_8,For modification please tell us if modification 8 covered any of the following r,Numeric
1186,mod_des_8_1,Modification 8: Increase in quantity delivered/requested,Numeric
1187,mod_des_8_2,Modification 8: Decrease in quantity delivered/requested,Numeric
1188,mod_des_8_3,Modification 8: Increase in capacity delivered/requested,Numeric
1189,mod_des_8_4,Modification 8: Decrease in capacity delivered/requested,Numeric
1190,mod_des_8_5,Modification 8: Schedule extended,Numeric
1191,mod_des_8_6,Modification 8: Schedule shortenend,Numeric
1192,mod_des_8_7,Modification 8: Rework needed,Numeric
1193,mod_des_8_8,Modification 8: Sustainability - anything to improve the longevity of the facili,Numeric
1194,mod_des_8_9,Modification 8: Compliance to meet health & safety requirements,Numeric
1195,mod_des_8_10,Modification 8: Compliance to meet environmental requirements,Numeric
1196,mod_des_8_11,Modification 8: Compliance to meet disability access requirements (local or inte,Numeric
1197,mod_des_8_12,Modification 8: Other requirements,Numeric
1198,mod_des_8_13,"Modification 8: Other, Specify",Numeric
1199,mod_des_8_13_oe,MOD_DES_8_13_OE,String
1200,mod_des_8_96,Modification 8: Don't know,Numeric
1201,mod_value_8,What was the value of modification?,double
1202,mod_des_9,For modification please tell us if modification 9 covered any of the following r,Numeric
1203,mod_des_9_1,Modification 9: Increase in quantity delivered/requested,Numeric
1204,mod_des_9_2,Modification 9: Decrease in quantity delivered/requested,Numeric
1205,mod_des_9_3,Modification 9: Increase in capacity delivered/requested,Numeric
1206,mod_des_9_4,Modification 9: Decrease in capacity delivered/requested,Numeric
1207,mod_des_9_5,Modification 9: Schedule extended,Numeric
1208,mod_des_9_6,Modification 9: Schedule shortenend,Numeric
1209,mod_des_9_7,Modification 9: Rework needed,Numeric
1210,mod_des_9_8,Modification 9: Sustainability - anything to improve the longevity of the facili,Numeric
1211,mod_des_9_9,Modification 9: Compliance to meet health & safety requirements,Numeric
1212,mod_des_9_10,Modification 9: Compliance to meet environmental requirements,Numeric
1213,mod_des_9_11,Modification 9: Compliance to meet disability access requirements (local or inte,Numeric
1214,mod_des_9_12,Modification 9: Other requirements,Numeric
1215,mod_des_9_13,"Modification 9: Other, Specify",Numeric
1216,mod_des_9_13_oe,MOD_DES_9_13_OE,String
1217,mod_des_9_96,Modification 9: Don't know,Numeric
1218,mod_value_9,What was the value of modification?,long
1219,mod_des_10,For modification please tell us if modification 10 covered any of the following ,Numeric
1220,mod_des_10_1,Modification 10: Increase in quantity delivered/requested,Numeric
1221,mod_des_10_2,Modification 10: Decrease in quantity delivered/requested,Numeric
1222,mod_des_10_3,Modification 10: Increase in capacity delivered/requested,Numeric
1223,mod_des_10_4,Modification 10: Decrease in capacity delivered/requested,Numeric
1224,mod_des_10_5,Modification 10: Schedule extended,Numeric
1225,mod_des_10_6,Modification 10: Schedule shortenend,Numeric
1226,mod_des_10_7,Modification 10: Rework needed,Numeric
1227,mod_des_10_8,Modification 10: Sustainability - anything to improve the longevity of the facil,Numeric
1228,mod_des_10_9,Modification 10: Compliance to meet health & safety requirements,Numeric
1229,mod_des_10_10,Modification 10: Compliance to meet environmental requirements,Numeric
1230,mod_des_10_11,Modification 10: Compliance to meet disability access requirements (local or int,Numeric
1231,mod_des_10_12,Modification 10: Other requirements,Numeric
1232,mod_des_10_13,"Modification 10: Other, Specify",Numeric
1233,mod_des_10_13_oe,MOD_DES_10_13_OE,String
1234,mod_des_10_96,Modification 10: Don't know,Numeric
1235,mod_value_10,What was the value of modification?,double
1236,mod_des_11,For modification please tell us if modification 11 covered any of the following ,Numeric
1237,mod_des_11_1,Modification 11: Increase in quantity delivered/requested,Numeric
1238,mod_des_11_2,Modification 11: Decrease in quantity delivered/requested,Numeric
1239,mod_des_11_3,Modification 11: Increase in capacity delivered/requested,Numeric
1240,mod_des_11_4,Modification 11: Decrease in capacity delivered/requested,Numeric
1241,mod_des_11_5,Modification 11: Schedule extended,Numeric
1242,mod_des_11_6,Modification 11: Schedule shortenend,Numeric
1243,mod_des_11_7,Modification 11: Rework needed,Numeric
1244,mod_des_11_8,Modification 11: Sustainability - anything to improve the longevity of the facil,Numeric
1245,mod_des_11_9,Modification 11: Compliance to meet health & safety requirements,Numeric
1246,mod_des_11_10,Modification 11: Compliance to meet environmental requirements,Numeric
1247,mod_des_11_11,Modification 11: Compliance to meet disability access requirements (local or int,Numeric
1248,mod_des_11_12,Modification 11: Other requirements,Numeric
1249,mod_des_11_13,"Modification 11: Other, Specify",Numeric
1250,mod_des_11_13_oe,MOD_DES_11_13_OE,String
1251,mod_des_11_96,Modification 11: Don't know,Numeric
1252,mod_value_11,What was the value of modification?,long
1253,mod_des_12,For modification please tell us if modification 12 covered any of the following ,Numeric
1254,mod_des_12_1,Modification 12: Increase in quantity delivered/requested,Numeric
1255,mod_des_12_2,Modification 12: Decrease in quantity delivered/requested,Numeric
1256,mod_des_12_3,Modification 12: Increase in capacity delivered/requested,Numeric
1257,mod_des_12_4,Modification 12: Decrease in capacity delivered/requested,Numeric
1258,mod_des_12_5,Modification 12: Schedule extended,Numeric
1259,mod_des_12_6,Modification 12: Schedule shortenend,Numeric
1260,mod_des_12_7,Modification 12: Rework needed,Numeric
1261,mod_des_12_8,Modification 12: Sustainability - anything to improve the longevity of the facil,Numeric
1262,mod_des_12_9,Modification 12: Compliance to meet health & safety requirements,Numeric
1263,mod_des_12_10,Modification 12: Compliance to meet environmental requirements,Numeric
1264,mod_des_12_11,Modification 12: Compliance to meet disability access requirements (local or int,Numeric
1265,mod_des_12_12,Modification 12: Other requirements,Numeric
1266,mod_des_12_13,"Modification 12: Other, Specify",Numeric
1267,mod_des_12_13_oe,MOD_DES_12_13_OE,String
1268,mod_des_12_96,Modification 12: Don't know,Numeric
1269,mod_value_12,What was the value of modification?,double
1270,mod_des_13,For modification please tell us if modification 13 covered any of the following ,Numeric
1271,mod_des_13_1,Modification 13: Increase in quantity delivered/requested,Numeric
1272,mod_des_13_2,Modification 13: Decrease in quantity delivered/requested,Numeric
1273,mod_des_13_3,Modification 13: Increase in capacity delivered/requested,Numeric
1274,mod_des_13_4,Modification 13: Decrease in capacity delivered/requested,Numeric
1275,mod_des_13_5,Modification 13: Schedule extended,Numeric
1276,mod_des_13_6,Modification 13: Schedule shortenend,Numeric
1277,mod_des_13_7,Modification 13: Rework needed,Numeric
1278,mod_des_13_8,Modification 13: Sustainability - anything to improve the longevity of the facil,Numeric
1279,mod_des_13_9,Modification 13: Compliance to meet health & safety requirements,Numeric
1280,mod_des_13_10,Modification 13: Compliance to meet environmental requirements,Numeric
1281,mod_des_13_11,Modification 13: Compliance to meet disability access requirements (local or int,Numeric
1282,mod_des_13_12,Modification 13: Other requirements,Numeric
1283,mod_des_13_13,"Modification 13: Other, Specify",Numeric
1284,mod_des_13_13_oe,MOD_DES_13_13_OE,String
1285,mod_des_13_96,Modification 13: Don't know,Numeric
1286,mod_value_13,What was the value of modification?,long
1287,mod_des_14,For modification please tell us if modification 14 covered any of the following ,Numeric
1288,mod_des_14_1,Modification 14: Increase in quantity delivered/requested,Numeric
1289,mod_des_14_2,Modification 14: Decrease in quantity delivered/requested,Numeric
1290,mod_des_14_3,Modification 14: Increase in capacity delivered/requested,Numeric
1291,mod_des_14_4,Modification 14: Decrease in capacity delivered/requested,Numeric
1292,mod_des_14_5,Modification 14: Schedule extended,Numeric
1293,mod_des_14_6,Modification 14: Schedule shortenend,Numeric
1294,mod_des_14_7,Modification 14: Rework needed,Numeric
1295,mod_des_14_8,Modification 14: Sustainability - anything to improve the longevity of the facil,Numeric
1296,mod_des_14_9,Modification 14: Compliance to meet health & safety requirements,Numeric
1297,mod_des_14_10,Modification 14: Compliance to meet environmental requirements,Numeric
1298,mod_des_14_11,Modification 14: Compliance to meet disability access requirements (local or int,Numeric
1299,mod_des_14_12,Modification 14: Other requirements,Numeric
1300,mod_des_14_13,"Modification 14: Other, Specify",Numeric
1301,mod_des_14_13_oe,MOD_DES_14_13_OE,String
1302,mod_des_14_96,Modification 14: Don't know,Numeric
1303,mod_value_14,What was the value of modification?,Integer
1304,mod_des_15,For modification please tell us if modification 15 covered any of the following ,Numeric
1305,mod_des_15_1,Modification 15: Increase in quantity delivered/requested,Numeric
1306,mod_des_15_2,Modification 15: Decrease in quantity delivered/requested,Numeric
1307,mod_des_15_3,Modification 15: Increase in capacity delivered/requested,Numeric
1308,mod_des_15_4,Modification 15: Decrease in capacity delivered/requested,Numeric
1309,mod_des_15_5,Modification 15: Schedule extended,Numeric
1310,mod_des_15_6,Modification 15: Schedule shortenend,Numeric
1311,mod_des_15_7,Modification 15: Rework needed,Numeric
1312,mod_des_15_8,Modification 15: Sustainability - anything to improve the longevity of the facil,Numeric
1313,mod_des_15_9,Modification 15: Compliance to meet health & safety requirements,Numeric
1314,mod_des_15_10,Modification 15: Compliance to meet environmental requirements,Numeric
1315,mod_des_15_11,Modification 15: Compliance to meet disability access requirements (local or int,Numeric
1316,mod_des_15_12,Modification 15: Other requirements,Numeric
1317,mod_des_15_13,"Modification 15: Other, Specify",Numeric
1318,mod_des_15_13_oe,MOD_DES_15_13_OE,String
1319,mod_des_15_96,Modification 15: Don't know,Numeric
1320,mod_value_15,What was the value of modification?,long
1321,mod_des_16,For modification please tell us if modification 16 covered any of the following ,Numeric
1322,mod_des_16_1,Modification 16: Increase in quantity delivered/requested,Numeric
1323,mod_des_16_2,Modification 16: Decrease in quantity delivered/requested,Numeric
1324,mod_des_16_3,Modification 16: Increase in capacity delivered/requested,Numeric
1325,mod_des_16_4,Modification 16: Decrease in capacity delivered/requested,Numeric
1326,mod_des_16_5,Modification 16: Schedule extended,Numeric
1327,mod_des_16_6,Modification 16: Schedule shortenend,Numeric
1328,mod_des_16_7,Modification 16: Rework needed,Numeric
1329,mod_des_16_8,Modification 16: Sustainability - anything to improve the longevity of the facil,Numeric
1330,mod_des_16_9,Modification 16: Compliance to meet health & safety requirements,Numeric
