,Variable Name,Variable Label,Variable Type
107,roadway_actual_segments_2_2_oe,ROADWAY_ACTUAL_SEGMENTS_2_2_OE,String
108,roadway_actual_segments_2_96,Don't Know,Numeric
109,roadway_planned_km_2,Type 2:Planned total km,Numeric
110,roadway_planned_km_2_1,Urban,Numeric
111,roadway_planned_km_2_1_oe,ROADWAY_PLANNED_KM_2_1_OE,double
112,roadway_planned_km_2_2,Rural,Numeric
113,roadway_planned_km_2_2_oe,ROADWAY_PLANNED_KM_2_2_OE,String
114,roadway_planned_km_2_96,Don't Know,Numeric
115,roadway_actual_km_2,Type 2: Actual/Estimated total km,Numeric
116,roadway_actual_km_2_1,Urban,Numeric
117,roadway_actual_km_2_1_oe,ROADWAY_ACTUAL_KM_2_1_OE,double
118,roadway_actual_km_2_2,Rural,Numeric
119,roadway_actual_km_2_2_oe,ROADWAY_ACTUAL_KM_2_2_OE,String
120,roadway_actual_km_2_96,Don't know,Numeric
124,roadway_plan_life_2_oe,ROADWAY_PLAN_LIFE_2_OE,String
128,roadway_est_life_2_oe,ROADWAY_EST_LIFE_2_OE,String
136,roadway_rework_req_2_oe,ROADWAY_REWORK_REQ_2_OE,String
137,roadway_gps_2_file,Type 2: ROADWAY_GPS : File,Numeric
138,roadway_gps_2_gpscoordinates,Type 2: ROADWAY_TYPE-RC GPS coordinates for all related construction structures ,String
139,roadway_gps_2_refusalmsg,Type 2: ROADWAY_GPS : Refusal Message,String
153,roadway_plan_segments_3,Type 3: ##ROADWAY_TYPE-RC## Planned number of segments (by location),Numeric
154,roadway_plan_segments_3_1,Urban,Numeric
155,roadway_plan_segments_3_1_oe,ROADWAY_PLAN_SEGMENTS_3_1_OE,Numeric
156,roadway_plan_segments_3_2,Rural,Numeric
157,roadway_plan_segments_3_2_oe,ROADWAY_PLAN_SEGMENTS_3_2_OE,Numeric
158,roadway_plan_segments_3_96,Don't Know,Numeric
159,roadway_actual_segments_3,Type 3: ##ROADWAY_TYPE-RC## Actual(if complete)/ Estimated (if ongoing) number o,Numeric
160,roadway_actual_segments_3_1,Urban,Numeric
161,roadway_actual_segments_3_1_oe,ROADWAY_ACTUAL_SEGMENTS_3_1_OE,Numeric
162,roadway_actual_segments_3_2,Rural,Numeric
163,roadway_actual_segments_3_2_oe,ROADWAY_ACTUAL_SEGMENTS_3_2_OE,Numeric
164,roadway_actual_segments_3_96,Don't Know,Numeric
165,roadway_planned_km_3,Type 3:Planned total km,Numeric
166,roadway_planned_km_3_1,Urban,Numeric
167,roadway_planned_km_3_1_oe,ROADWAY_PLANNED_KM_3_1_OE,double
168,roadway_planned_km_3_2,Rural,Numeric
169,roadway_planned_km_3_2_oe,ROADWAY_PLANNED_KM_3_2_OE,Numeric
170,roadway_planned_km_3_96,Don't Know,Numeric
171,roadway_actual_km_3,Type 3: Actual/Estimated total km,Numeric
172,roadway_actual_km_3_1,Urban,Numeric
173,roadway_actual_km_3_1_oe,ROADWAY_ACTUAL_KM_3_1_OE,double
174,roadway_actual_km_3_2,Rural,Numeric
175,roadway_actual_km_3_2_oe,ROADWAY_ACTUAL_KM_3_2_OE,Numeric
176,roadway_actual_km_3_96,Don't know,Numeric
180,roadway_plan_life_3_oe,ROADWAY_PLAN_LIFE_3_OE,Numeric
184,roadway_est_life_3_oe,ROADWAY_EST_LIFE_3_OE,Numeric
192,roadway_rework_req_3_oe,ROADWAY_REWORK_REQ_3_OE,Numeric
193,roadway_gps_3_file,Type 3: ROADWAY_GPS : File,Numeric
194,roadway_gps_3_gpscoordinates,Type 3: ROADWAY_TYPE-RC GPS coordinates for all related construction structures ,String
195,roadway_gps_3_refusalmsg,Type 3: ROADWAY_GPS : Refusal Message,Numeric
209,roadway_plan_segments_4,Type 4: ##ROADWAY_TYPE-RC## Planned number of segments (by location),Integer
210,roadway_plan_segments_4_1,Urban,Numeric
211,roadway_plan_segments_4_1_oe,ROADWAY_PLAN_SEGMENTS_4_1_OE,Numeric
212,roadway_plan_segments_4_2,Rural,Numeric
213,roadway_plan_segments_4_2_oe,ROADWAY_PLAN_SEGMENTS_4_2_OE,String
214,roadway_plan_segments_4_96,Don't Know,Numeric
215,roadway_actual_segments_4,Type 4: ##ROADWAY_TYPE-RC## Actual(if complete)/ Estimated (if ongoing) number o,Integer
216,roadway_actual_segments_4_1,Urban,Numeric
217,roadway_actual_segments_4_1_oe,ROADWAY_ACTUAL_SEGMENTS_4_1_OE,String
218,roadway_actual_segments_4_2,Rural,Numeric
219,roadway_actual_segments_4_2_oe,ROADWAY_ACTUAL_SEGMENTS_4_2_OE,String
220,roadway_actual_segments_4_96,Don't Know,Numeric
221,roadway_planned_km_4,Type 4:Planned total km,Integer
222,roadway_planned_km_4_1,Urban,Numeric
223,roadway_planned_km_4_1_oe,ROADWAY_PLANNED_KM_4_1_OE,String
224,roadway_planned_km_4_2,Rural,Numeric
225,roadway_planned_km_4_2_oe,ROADWAY_PLANNED_KM_4_2_OE,String
226,roadway_planned_km_4_96,Don't Know,Numeric
227,roadway_actual_km_4,Type 4: Actual/Estimated total km,Integer
228,roadway_actual_km_4_1,Urban,Numeric
229,roadway_actual_km_4_1_oe,ROADWAY_ACTUAL_KM_4_1_OE,String
230,roadway_actual_km_4_2,Rural,Numeric
231,roadway_actual_km_4_2_oe,ROADWAY_ACTUAL_KM_4_2_OE,String
232,roadway_actual_km_4_96,Don't know,Numeric
236,roadway_plan_life_4_oe,ROADWAY_PLAN_LIFE_4_OE,String
240,roadway_est_life_4_oe,ROADWAY_EST_LIFE_4_OE,String
248,roadway_rework_req_4_oe,ROADWAY_REWORK_REQ_4_OE,Numeric
249,roadway_gps_4_file,Type 4: ROADWAY_GPS : File,String
250,roadway_gps_4_gpscoordinates,Type 4: ROADWAY_TYPE-RC GPS coordinates for all related construction structures ,String
251,roadway_gps_4_refusalmsg,Type 4: ROADWAY_GPS : Refusal Message,String
265,roadway_plan_segments_7,Type 7: ##ROADWAY_TYPE-RC## Planned number of segments (by location),Integer
266,roadway_plan_segments_7_1,Urban,Numeric
267,roadway_plan_segments_7_1_oe,ROADWAY_PLAN_SEGMENTS_7_1_OE,String
268,roadway_plan_segments_7_2,Rural,String
269,roadway_plan_segments_7_2_oe,ROADWAY_PLAN_SEGMENTS_7_2_OE,String
270,roadway_plan_segments_7_96,Don't Know,Numeric
271,roadway_actual_segments_7,Type 7: ##ROADWAY_TYPE-RC## Actual(if complete)/ Estimated (if ongoing) number o,Integer
272,roadway_actual_segments_7_1,Urban,Numeric
273,roadway_actual_segments_7_1_oe,ROADWAY_ACTUAL_SEGMENTS_7_1_OE,Numeric
274,roadway_actual_segments_7_2,Rural,String
275,roadway_actual_segments_7_2_oe,ROADWAY_ACTUAL_SEGMENTS_7_2_OE,String
276,roadway_actual_segments_7_96,Don't Know,Numeric
277,roadway_planned_km_7,Type 7:Planned total km,Integer
278,roadway_planned_km_7_1,Urban,Numeric
279,roadway_planned_km_7_1_oe,ROADWAY_PLANNED_KM_7_1_OE,double
280,roadway_planned_km_7_2,Rural,Numeric
281,roadway_planned_km_7_2_oe,ROADWAY_PLANNED_KM_7_2_OE,String
282,roadway_planned_km_7_96,Don't Know,Numeric
283,roadway_actual_km_7,Type 7: Actual/Estimated total km,Integer
284,roadway_actual_km_7_1,Urban,Numeric
285,roadway_actual_km_7_1_oe,ROADWAY_ACTUAL_KM_7_1_OE,double
286,roadway_actual_km_7_2,Rural,Numeric
287,roadway_actual_km_7_2_oe,ROADWAY_ACTUAL_KM_7_2_OE,String
288,roadway_actual_km_7_96,Don't know,Numeric
292,roadway_plan_life_7_oe,ROADWAY_PLAN_LIFE_7_OE,String
296,roadway_est_life_7_oe,ROADWAY_EST_LIFE_7_OE,String
304,roadway_rework_req_7_oe,ROADWAY_REWORK_REQ_7_OE,String
305,roadway_gps_7_file,Type 7: ROADWAY_GPS : File,String
306,roadway_gps_7_gpscoordinates,Type 7: ROADWAY_TYPE-RC GPS coordinates for all related construction structures ,String
307,roadway_gps_7_refusalmsg,Type 7: ROADWAY_GPS : Refusal Message,String
321,roadway_plan_segments_5,Type 5: ##ROADWAY_TYPE-RC## Planned number of segments (by location),Integer
322,roadway_plan_segments_5_1,Urban,Numeric
323,roadway_plan_segments_5_1_oe,ROADWAY_PLAN_SEGMENTS_5_1_OE,String
324,roadway_plan_segments_5_2,Rural,Numeric
325,roadway_plan_segments_5_2_oe,ROADWAY_PLAN_SEGMENTS_5_2_OE,String
326,roadway_plan_segments_5_96,Don't Know,Numeric
327,roadway_actual_segments_5,Type 5: ##ROADWAY_TYPE-RC## Actual(if complete)/ Estimated (if ongoing) number o,Integer
328,roadway_actual_segments_5_1,Urban,Numeric
329,roadway_actual_segments_5_1_oe,ROADWAY_ACTUAL_SEGMENTS_5_1_OE,String
330,roadway_actual_segments_5_2,Rural,Numeric
331,roadway_actual_segments_5_2_oe,ROADWAY_ACTUAL_SEGMENTS_5_2_OE,String
332,roadway_actual_segments_5_96,Don't Know,Numeric
333,roadway_planned_km_5,Type 5:Planned total km,Integer
334,roadway_planned_km_5_1,Urban,Numeric
335,roadway_planned_km_5_1_oe,ROADWAY_PLANNED_KM_5_1_OE,double
336,roadway_planned_km_5_2,Rural,Numeric
337,roadway_planned_km_5_2_oe,ROADWAY_PLANNED_KM_5_2_OE,String
338,roadway_planned_km_5_96,Don't Know,Numeric
339,roadway_actual_km_5,Type 5: Actual/Estimated total km,Integer
340,roadway_actual_km_5_1,Urban,Numeric
341,roadway_actual_km_5_1_oe,ROADWAY_ACTUAL_KM_5_1_OE,double
342,roadway_actual_km_5_2,Rural,Numeric
343,roadway_actual_km_5_2_oe,ROADWAY_ACTUAL_KM_5_2_OE,String
344,roadway_actual_km_5_96,Don't know,Numeric
348,roadway_plan_life_5_oe,ROADWAY_PLAN_LIFE_5_OE,String
352,roadway_est_life_5_oe,ROADWAY_EST_LIFE_5_OE,String
360,roadway_rework_req_5_oe,ROADWAY_REWORK_REQ_5_OE,String
361,roadway_gps_5_file,Type 5: ROADWAY_GPS : File,String
362,roadway_gps_5_gpscoordinates,Type 5: ROADWAY_TYPE-RC GPS coordinates for all related construction structures ,String
363,roadway_gps_5_refusalmsg,Type 5: ROADWAY_GPS : Refusal Message,String
377,roadway_plan_segments_6,Type 6: ##ROADWAY_TYPE-RC## Planned number of segments (by location),Numeric
378,roadway_plan_segments_6_1,Urban,Numeric
379,roadway_plan_segments_6_1_oe,ROADWAY_PLAN_SEGMENTS_6_1_OE,Numeric
380,roadway_plan_segments_6_2,Rural,Numeric
381,roadway_plan_segments_6_2_oe,ROADWAY_PLAN_SEGMENTS_6_2_OE,String
382,roadway_plan_segments_6_96,Don't Know,Numeric
383,roadway_actual_segments_6,Type 6: ##ROADWAY_TYPE-RC## Actual(if complete)/ Estimated (if ongoing) number o,Numeric
384,roadway_actual_segments_6_1,Urban,Numeric
385,roadway_actual_segments_6_1_oe,ROADWAY_ACTUAL_SEGMENTS_6_1_OE,Numeric
386,roadway_actual_segments_6_2,Rural,Numeric
387,roadway_actual_segments_6_2_oe,ROADWAY_ACTUAL_SEGMENTS_6_2_OE,String
388,roadway_actual_segments_6_96,Don't Know,Numeric
389,roadway_planned_km_6,Type 6:Planned total km,Integer
390,roadway_planned_km_6_1,Urban,Numeric
391,roadway_planned_km_6_1_oe,ROADWAY_PLANNED_KM_6_1_OE,Numeric
392,roadway_planned_km_6_2,Rural,Numeric
393,roadway_planned_km_6_2_oe,ROADWAY_PLANNED_KM_6_2_OE,String
394,roadway_planned_km_6_96,Don't Know,Numeric
395,roadway_actual_km_6,Type 6: Actual/Estimated total km,Numeric
396,roadway_actual_km_6_1,Urban,Numeric
397,roadway_actual_km_6_1_oe,ROADWAY_ACTUAL_KM_6_1_OE,Numeric
398,roadway_actual_km_6_2,Rural,Numeric
399,roadway_actual_km_6_2_oe,ROADWAY_ACTUAL_KM_6_2_OE,String
400,roadway_actual_km_6_96,Don't know,Numeric
404,roadway_plan_life_6_oe,ROADWAY_PLAN_LIFE_6_OE,String
408,roadway_est_life_6_oe,ROADWAY_EST_LIFE_6_OE,String
416,roadway_rework_req_6_oe,ROADWAY_REWORK_REQ_6_OE,String
417,roadway_gps_6_file,Type 6: ROADWAY_GPS : File,String
418,roadway_gps_6_gpscoordinates,Type 6: ROADWAY_TYPE-RC GPS coordinates for all related construction structures ,String
419,roadway_gps_6_refusalmsg,Type 6: ROADWAY_GPS : Refusal Message,String
420,roadway_dis,What is the closest major city or town to the project site (50k people or more)?,String
424,road_bridge_type,"For bridges along roads, please select all that apply and provide as much inform",Integer
425,road_bridge_type_1,"Steel, 4 or more lanes",Numeric
426,road_bridge_type_2,"Steel, 2 lanes",Numeric
427,road_bridge_type_3,"Concrete, 4 or more lanes",Numeric
428,road_bridge_type_4,"Concrete, 2 lanes",Numeric
429,road_bridge_type_5,"Wood, 4 or more lanes",Numeric
430,road_bridge_type_6,"Wood, 2 lanes",Numeric
431,road_bridge_type_7,"Other, please specify",Numeric
432,road_bridge_type_7_oe,ROAD_BRIDGE_TYPE_7_OE,String
446,road_bridge_plan_sites_1,Type 1: Planned number of sites,Numeric
447,road_bridge_plan_sites_1_1,Urban:,Numeric
448,road_bridge_plan_sites_1_1_oe,ROAD_BRIDGE_PLAN_SITES_1_1_OE,Numeric
449,road_bridge_plan_sites_1_96,Don't know,Numeric
450,road_bridge_plan_sites_1_2,Rural:,Numeric
451,road_bridge_plan_sites_1_2_oe,ROAD_BRIDGE_PLAN_SITES_1_2_OE,Numeric
452,road_bridge_act_sites_1,Type 1: Actual/ Estimated number of sites,Numeric
453,road_bridge_act_sites_1_1,Urban:,Numeric
454,road_bridge_act_sites_1_1_oe,ROAD_BRIDGE_ACT_SITES_1_1_OE,Numeric
455,road_bridge_act_sites_1_96,Don't know,Numeric
456,road_bridge_act_sites_1_2,Rural:,Numeric
457,road_bridge_act_sites_1_2_oe,ROAD_BRIDGE_ACT_SITES_1_2_OE,Numeric
468,road_bridge_span_no_1_oe,ROAD_BRIDGE_SPAN_NO_1_OE,Numeric
472,road_bridge_plan_life_1_oe,ROAD_BRIDGE_PLAN_LIFE_1_OE,Numeric
476,road_bridge_est_life_1_oe,ROAD_BRIDGE_EST_LIFE_1_OE,Numeric
484,road_bridge_rework_1_oe,ROAD_BRIDGE_REWORK_1_OE,Numeric
485,road_bridge_gps_1_file,Type 1: ROAD_BRIDGE_GPS : File,Numeric
486,road_bridge_gps_1_gpscoordinates,Type 1: GPS coordinates for all related construction structures (provide coordin,Numeric
487,road_bridge_gps_1_refusalmsg,Type 1: ROAD_BRIDGE_GPS : Refusal Message,Numeric
501,road_bridge_plan_sites_2,Type 2: Planned number of sites,Numeric
502,road_bridge_plan_sites_2_1,Urban:,Numeric
503,road_bridge_plan_sites_2_1_oe,ROAD_BRIDGE_PLAN_SITES_2_1_OE,Numeric
504,road_bridge_plan_sites_2_96,Don't know,Numeric
505,road_bridge_plan_sites_2_2,Rural:,Numeric
506,road_bridge_plan_sites_2_2_oe,ROAD_BRIDGE_PLAN_SITES_2_2_OE,String
507,road_bridge_act_sites_2,Type 2: Actual/ Estimated number of sites,Numeric
508,road_bridge_act_sites_2_1,Urban:,Numeric
509,road_bridge_act_sites_2_1_oe,ROAD_BRIDGE_ACT_SITES_2_1_OE,Numeric
510,road_bridge_act_sites_2_96,Don't know,Numeric
511,road_bridge_act_sites_2_2,Rural:,Numeric
512,road_bridge_act_sites_2_2_oe,ROAD_BRIDGE_ACT_SITES_2_2_OE,String
523,road_bridge_span_no_2_oe,ROAD_BRIDGE_SPAN_NO_2_OE,String
527,road_bridge_plan_life_2_oe,ROAD_BRIDGE_PLAN_LIFE_2_OE,String
531,road_bridge_est_life_2_oe,ROAD_BRIDGE_EST_LIFE_2_OE,String
539,road_bridge_rework_2_oe,ROAD_BRIDGE_REWORK_2_OE,String
540,road_bridge_gps_2_file,Type 2: ROAD_BRIDGE_GPS : File,Numeric
541,road_bridge_gps_2_gpscoordinates,Type 2: GPS coordinates for all related construction structures (provide coordin,String
542,road_bridge_gps_2_refusalmsg,Type 2: ROAD_BRIDGE_GPS : Refusal Message,String
556,road_bridge_plan_sites_3,Type 3: Planned number of sites,Numeric
557,road_bridge_plan_sites_3_1,Urban:,Numeric
558,road_bridge_plan_sites_3_1_oe,ROAD_BRIDGE_PLAN_SITES_3_1_OE,Numeric
559,road_bridge_plan_sites_3_96,Don't know,Numeric
560,road_bridge_plan_sites_3_2,Rural:,Numeric
561,road_bridge_plan_sites_3_2_oe,ROAD_BRIDGE_PLAN_SITES_3_2_OE,Numeric
562,road_bridge_act_sites_3,Type 3: Actual/ Estimated number of sites,Numeric
563,road_bridge_act_sites_3_1,Urban:,Numeric
564,road_bridge_act_sites_3_1_oe,ROAD_BRIDGE_ACT_SITES_3_1_OE,Numeric
565,road_bridge_act_sites_3_96,Don't know,Numeric
566,road_bridge_act_sites_3_2,Rural:,Numeric
567,road_bridge_act_sites_3_2_oe,ROAD_BRIDGE_ACT_SITES_3_2_OE,Numeric
578,road_bridge_span_no_3_oe,ROAD_BRIDGE_SPAN_NO_3_OE,Numeric
582,road_bridge_plan_life_3_oe,ROAD_BRIDGE_PLAN_LIFE_3_OE,Numeric
586,road_bridge_est_life_3_oe,ROAD_BRIDGE_EST_LIFE_3_OE,Numeric
594,road_bridge_rework_3_oe,ROAD_BRIDGE_REWORK_3_OE,Numeric
595,road_bridge_gps_3_file,Type 3: ROAD_BRIDGE_GPS : File,Numeric
596,road_bridge_gps_3_gpscoordinates,Type 3: GPS coordinates for all related construction structures (provide coordin,Numeric
597,road_bridge_gps_3_refusalmsg,Type 3: ROAD_BRIDGE_GPS : Refusal Message,Numeric
611,road_bridge_plan_sites_4,Type 4: Planned number of sites,Numeric
612,road_bridge_plan_sites_4_1,Urban:,Numeric
613,road_bridge_plan_sites_4_1_oe,ROAD_BRIDGE_PLAN_SITES_4_1_OE,Numeric
614,road_bridge_plan_sites_4_96,Don't know,Numeric
615,road_bridge_plan_sites_4_2,Rural:,Numeric
616,road_bridge_plan_sites_4_2_oe,ROAD_BRIDGE_PLAN_SITES_4_2_OE,String
617,road_bridge_act_sites_4,Type 4: Actual/ Estimated number of sites,Numeric
618,road_bridge_act_sites_4_1,Urban:,Numeric
619,road_bridge_act_sites_4_1_oe,ROAD_BRIDGE_ACT_SITES_4_1_OE,Numeric
620,road_bridge_act_sites_4_96,Don't know,Numeric
621,road_bridge_act_sites_4_2,Rural:,Numeric
622,road_bridge_act_sites_4_2_oe,ROAD_BRIDGE_ACT_SITES_4_2_OE,String
633,road_bridge_span_no_4_oe,ROAD_BRIDGE_SPAN_NO_4_OE,String
637,road_bridge_plan_life_4_oe,ROAD_BRIDGE_PLAN_LIFE_4_OE,String
641,road_bridge_est_life_4_oe,ROAD_BRIDGE_EST_LIFE_4_OE,String
649,road_bridge_rework_4_oe,ROAD_BRIDGE_REWORK_4_OE,String
650,road_bridge_gps_4_file,Type 4: ROAD_BRIDGE_GPS : File,String
651,road_bridge_gps_4_gpscoordinates,Type 4: GPS coordinates for all related construction structures (provide coordin,String
652,road_bridge_gps_4_refusalmsg,Type 4: ROAD_BRIDGE_GPS : Refusal Message,String
666,road_bridge_plan_sites_5,Type 5: Planned number of sites,Numeric
667,road_bridge_plan_sites_5_1,Urban:,Numeric
668,road_bridge_plan_sites_5_1_oe,ROAD_BRIDGE_PLAN_SITES_5_1_OE,Numeric
669,road_bridge_plan_sites_5_96,Don't know,Numeric
670,road_bridge_plan_sites_5_2,Rural:,Numeric
671,road_bridge_plan_sites_5_2_oe,ROAD_BRIDGE_PLAN_SITES_5_2_OE,Numeric
672,road_bridge_act_sites_5,Type 5: Actual/ Estimated number of sites,Numeric
673,road_bridge_act_sites_5_1,Urban:,Numeric
674,road_bridge_act_sites_5_1_oe,ROAD_BRIDGE_ACT_SITES_5_1_OE,Numeric
675,road_bridge_act_sites_5_96,Don't know,Numeric
676,road_bridge_act_sites_5_2,Rural:,Numeric
677,road_bridge_act_sites_5_2_oe,ROAD_BRIDGE_ACT_SITES_5_2_OE,Numeric
688,road_bridge_span_no_5_oe,ROAD_BRIDGE_SPAN_NO_5_OE,Numeric
692,road_bridge_plan_life_5_oe,ROAD_BRIDGE_PLAN_LIFE_5_OE,Numeric
696,road_bridge_est_life_5_oe,ROAD_BRIDGE_EST_LIFE_5_OE,Numeric
704,road_bridge_rework_5_oe,ROAD_BRIDGE_REWORK_5_OE,Numeric
705,road_bridge_gps_5_file,Type 5: ROAD_BRIDGE_GPS : File,Numeric
706,road_bridge_gps_5_gpscoordinates,Type 5: GPS coordinates for all related construction structures (provide coordin,Numeric
707,road_bridge_gps_5_refusalmsg,Type 5: ROAD_BRIDGE_GPS : Refusal Message,Numeric
721,road_bridge_plan_sites_6,Type 6: Planned number of sites,Integer
722,road_bridge_plan_sites_6_1,Urban:,Numeric
723,road_bridge_plan_sites_6_1_oe,ROAD_BRIDGE_PLAN_SITES_6_1_OE,Numeric
724,road_bridge_plan_sites_6_96,Don't know,Numeric
725,road_bridge_plan_sites_6_2,Rural:,Numeric
726,road_bridge_plan_sites_6_2_oe,ROAD_BRIDGE_PLAN_SITES_6_2_OE,Numeric
727,road_bridge_act_sites_6,Type 6: Actual/ Estimated number of sites,Integer
728,road_bridge_act_sites_6_1,Urban:,Numeric
729,road_bridge_act_sites_6_1_oe,ROAD_BRIDGE_ACT_SITES_6_1_OE,Numeric
730,road_bridge_act_sites_6_96,Don't know,Numeric
731,road_bridge_act_sites_6_2,Rural:,Numeric
732,road_bridge_act_sites_6_2_oe,ROAD_BRIDGE_ACT_SITES_6_2_OE,Numeric
743,road_bridge_span_no_6_oe,ROAD_BRIDGE_SPAN_NO_6_OE,Numeric
747,road_bridge_plan_life_6_oe,ROAD_BRIDGE_PLAN_LIFE_6_OE,Numeric
751,road_bridge_est_life_6_oe,ROAD_BRIDGE_EST_LIFE_6_OE,Numeric
759,road_bridge_rework_6_oe,ROAD_BRIDGE_REWORK_6_OE,String
760,road_bridge_gps_6_file,Type 6: ROAD_BRIDGE_GPS : File,Numeric
761,road_bridge_gps_6_gpscoordinates,Type 6: GPS coordinates for all related construction structures (provide coordin,Numeric
762,road_bridge_gps_6_refusalmsg,Type 6: ROAD_BRIDGE_GPS : Refusal Message,String
776,road_bridge_plan_sites_7,Type 7: Planned number of sites,Integer
777,road_bridge_plan_sites_7_1,Urban:,Numeric
778,road_bridge_plan_sites_7_1_oe,ROAD_BRIDGE_PLAN_SITES_7_1_OE,Numeric
779,road_bridge_plan_sites_7_96,Don't know,Numeric
780,road_bridge_plan_sites_7_2,Rural:,Numeric
781,road_bridge_plan_sites_7_2_oe,ROAD_BRIDGE_PLAN_SITES_7_2_OE,String
782,road_bridge_act_sites_7,Type 7: Actual/ Estimated number of sites,Integer
783,road_bridge_act_sites_7_1,Urban:,Numeric
784,road_bridge_act_sites_7_1_oe,ROAD_BRIDGE_ACT_SITES_7_1_OE,Numeric
785,road_bridge_act_sites_7_96,Don't know,Numeric
786,road_bridge_act_sites_7_2,Rural:,Numeric
787,road_bridge_act_sites_7_2_oe,ROAD_BRIDGE_ACT_SITES_7_2_OE,String
